1,"",58,1
2,"",78,2
3,"",79,3
4,"",80,4
5,"",81,5
6,"",82,8
7,"",83,6
8,"",84,9
9,"",85,7
10,"",86,18
11,"",87,23
12,"",88,19
13,"",89,14
14,"",90,24
15,"",91,16
16,"",92,17
17,"",93,10
18,"",94,12
19,"",95,21
20,"",96,20
21,"",103,13
22,"",104,13
23,"",105,11
24,"",106,15
25,"",107,22
26,"",109,1
27,"",110,2
28,"",111,3
29,"",112,4
30,"",113,5
31,"",114,8
32,"",115,6
33,"",116,9
34,"",117,7
35,"",118,18
36,"",119,23
37,"",120,19
38,"",121,14
39,"",122,24
40,"",123,16
41,"",124,17
42,"",125,10
43,"",126,21
44,"",127,20
45,"",128,11
46,"",129,15
47,"",130,22
48,"",131,12
49,"",132,13
50,"",168,24
51,"",169,24
52,"",170,24
53,"",171,24
54,"",172,24
55,"",173,24
56,"",174,24
57,"",175,24
